2048,0.31,0.09,0.03
2560,0.3,0.09,0.03
3072,0.3,0.09,0.04
3584,0.31,0.09,0.03
4096,0.29,0.09,0.03
4608,0.31,0.1,0.02
5120,0.34,0.09,0.02
5632,0.29,0.1,0.01
